StimTrigger	Stimulus	cuetime	stim_file
1	15-A	1008	audio/15-A.mp3
2	15-B	1392	audio/15-B.mp3
3	15-C	1728	audio/15-C.mp3
4	15-D	1056	audio/15-D.mp3
5	15-E	72	audio/15-E.mp3
6	15-F	1392	audio/15-F.mp3
7	15-G	1392	audio/15-G.mp3
8	15-H	1080	audio/15-H.mp3
9	15-I	408	audio/15-I.mp3
10	15-J	2304	audio/15-J.mp3
11	15-K	1656	audio/15-K.mp3
12	15-L	1392	audio/15-L.mp3
13	15-M	1320	audio/15-M.mp3
14	15-N	744	audio/15-N.mp3
15	15-O	1968	audio/15-O.mp3
16	15-P	1728	audio/15-P.mp3
17	15-Q	2304	audio/15-Q.mp3
18	15-R	1080	audio/15-R.mp3
19	15-S	744	audio/15-S.mp3
20	15-T	672	audio/15-T.mp3
21	15-U	1344	audio/15-U.mp3
22	15-V	1680	audio/15-V.mp3
23	15-W	1656	audio/15-W.mp3
24	15-X	1992	audio/15-X.mp3
25	15-Y	2304	audio/15-Y.mp3
26	15-Z	1704	audio/15-Z.mp3
27	30-A	744	audio/30-A.mp3
28	30-B	1032	audio/30-B.mp3
29	30-C	1272	audio/30-C.mp3
30	30-D	792	audio/30-D.mp3
31	30-E	72	audio/30-E.mp3
32	30-F	1032	audio/30-F.mp3
33	30-G	1032	audio/30-G.mp3
34	30-H	816	audio/30-H.mp3
35	30-I	312	audio/30-I.mp3
36	30-J	1680	audio/30-J.mp3
37	30-K	1200	audio/30-K.mp3
38	30-L	1056	audio/30-L.mp3
39	30-M	960	audio/30-M.mp3
40	30-N	552	audio/30-N.mp3
41	30-O	1440	audio/30-O.mp3
42	30-P	1272	audio/30-P.mp3
43	30-Q	1680	audio/30-Q.mp3
44	30-R	792	audio/30-R.mp3
45	30-S	576	audio/30-S.mp3
46	30-T	480	audio/30-T.mp3
47	30-U	984	audio/30-U.mp3
48	30-V	1224	audio/30-V.mp3
49	30-W	1200	audio/30-W.mp3
50	30-X	1440	audio/30-X.mp3
51	30-Y	1680	audio/30-Y.mp3
52	30-Z	1272	audio/30-Z.mp3
53	40-A	624	audio/40-A.mp3
54	40-B	912	audio/40-B.mp3
55	40-C	1080	audio/40-C.mp3
56	40-D	696	audio/40-D.mp3
57	40-E	72	audio/40-E.mp3
58	40-F	888	audio/40-F.mp3
59	40-G	888	audio/40-G.mp3
60	40-H	720	audio/40-H.mp3
61	40-I	288	audio/40-I.mp3
62	40-J	1440	audio/40-J.mp3
63	40-K	1032	audio/40-K.mp3
64	40-L	912	audio/40-L.mp3
65	40-M	816	audio/40-M.mp3
66	40-N	480	audio/40-N.mp3
67	40-O	1224	audio/40-O.mp3
68	40-P	1080	audio/40-P.mp3
69	40-Q	1440	audio/40-Q.mp3
70	40-R	696	audio/40-R.mp3
71	40-S	504	audio/40-S.mp3
72	40-T	408	audio/40-T.mp3
73	40-U	840	audio/40-U.mp3
74	40-V	1056	audio/40-V.mp3
75	40-W	1032	audio/40-W.mp3
76	40-X	1248	audio/40-X.mp3
77	40-Y	1440	audio/40-Y.mp3
78	40-Z	1080	audio/40-Z.mp3
