name	type	units	sampling_frequency	reference	status
Fp1	EEG	uV	600	right earlobe	good
Fpz	EEG	uV	600	right earlobe	good
Fp2	EEG	uV	600	right earlobe	good
AF7	EEG	uV	600	right earlobe	good
AF3	EEG	uV	600	right earlobe	good
AF4	EEG	uV	600	right earlobe	good
AF8	EEG	uV	600	right earlobe	good
F7	EEG	uV	600	right earlobe	good
F5	EEG	uV	600	right earlobe	good
F3	EEG	uV	600	right earlobe	good
F1	EEG	uV	600	right earlobe	good
Fz	EEG	uV	600	right earlobe	good
F2	EEG	uV	600	right earlobe	good
F4	EEG	uV	600	right earlobe	good
F6	EEG	uV	600	right earlobe	good
F8	EEG	uV	600	right earlobe	good
FT7	EEG	uV	600	right earlobe	good
FC5	EEG	uV	600	right earlobe	good
FC3	EEG	uV	600	right earlobe	good
FC1	EEG	uV	600	right earlobe	good
FCz	EEG	uV	600	right earlobe	good
FC2	EEG	uV	600	right earlobe	good
FC4	EEG	uV	600	right earlobe	good
FC6	EEG	uV	600	right earlobe	good
FT8	EEG	uV	600	right earlobe	good
T7	EEG	uV	600	right earlobe	good
C5	EEG	uV	600	right earlobe	good
C3	EEG	uV	600	right earlobe	good
C1	EEG	uV	600	right earlobe	good
Cz	EEG	uV	600	right earlobe	good
C2	EEG	uV	600	right earlobe	good
C4	EEG	uV	600	right earlobe	good
C6	EEG	uV	600	right earlobe	good
T8	EEG	uV	600	right earlobe	good
TP7	EEG	uV	600	right earlobe	good
CP5	EEG	uV	600	right earlobe	good
CP3	EEG	uV	600	right earlobe	good
CP1	EEG	uV	600	right earlobe	good
CPz	EEG	uV	600	right earlobe	good
CP2	EEG	uV	600	right earlobe	good
CP4	EEG	uV	600	right earlobe	good
CP6	EEG	uV	600	right earlobe	good
TP8	EEG	uV	600	right earlobe	good
P7	EEG	uV	600	right earlobe	good
P5	EEG	uV	600	right earlobe	good
P3	EEG	uV	600	right earlobe	good
P1	EEG	uV	600	right earlobe	good
Pz	EEG	uV	600	right earlobe	good
P2	EEG	uV	600	right earlobe	good
P4	EEG	uV	600	right earlobe	good
P6	EEG	uV	600	right earlobe	good
P8	EEG	uV	600	right earlobe	good
PO7	EEG	uV	600	right earlobe	good
PO3	EEG	uV	600	right earlobe	good
POz	EEG	uV	600	right earlobe	good
PO4	EEG	uV	600	right earlobe	good
PO8	EEG	uV	600	right earlobe	good
O1	EEG	uV	600	right earlobe	good
Oz	EEG	uV	600	right earlobe	good
O2	EEG	uV	600	right earlobe	good
TP9	EEG	uV	600	right earlobe	good
TP10	EEG	uV	600	right earlobe	good
